]633;E;printf "sample\\tgroup\\tpercent\\n";e7642c78-eed8-4ffc-8e14-9099413050ca]633;Csample	group	percent
ERR2225818.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.52
ERR2225819.STAR.Aligned.sortedByCoord.out	CDS_Exons	402.64
ERR2225819.STAR.Aligned.sortedByCoord.out	Introns	1.10
ERR2225819.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.20
ERR2225819.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.64
ERR2225820.STAR.Aligned.sortedByCoord.out	CDS_Exons	430.79
ERR2225820.STAR.Aligned.sortedByCoord.out	Introns	1.11
ERR2225820.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.19
ERR2225820.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.57
ERR2225821.STAR.Aligned.sortedByCoord.out	CDS_Exons	407.75
ERR2225821.STAR.Aligned.sortedByCoord.out	Introns	1.18
ERR2225821.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.17
ERR2225821.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.54
ERR2225822.STAR.Aligned.sortedByCoord.out	CDS_Exons	387.27
ERR2225822.STAR.Aligned.sortedByCoord.out	Introns	1.17
ERR2225822.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.21
ERR2225822.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.63
ERR2225823.STAR.Aligned.sortedByCoord.out	CDS_Exons	368.19
ERR2225823.STAR.Aligned.sortedByCoord.out	Introns	1.21
ERR2225823.STAR.Aligned.sortedByCoord.out	TSS_up_10kb	0.19
ERR2225823.STAR.Aligned.sortedByCoord.out	TES_down_10kb	0.62
